League,Team,Avg Home Attendance,Total Home Attendance,Highest Home Attendance,Lowest Home Attendance,Season,KEY
Premier League,Manchester United,"75,335","1,431,362","75,454","75,112",2014/15,Premier League|Manchester United|2014/15
Premier League,Arsenal,"59,992","1,139,843","60,081","59,900",2014/15,Premier League|Arsenal|2014/15
Premier League,Newcastle United,"50,359","956,823","52,315","46,884",2014/15,Premier League|Newcastle United|2014/15
Premier League,Manchester City,"45,366","861,961","45,919","44,564",2014/15,Premier League|Manchester City|2014/15
Premier League,Liverpool,"44,659","848,519","44,736","44,405",2014/15,Premier League|Liverpool|2014/15
Premier League,Sunderland,"43,157","819,985","47,563","39,077",2014/15,Premier League|Sunderland|2014/15
Premier League,Chelsea,"41,546","789,376","41,629","41,098",2014/15,Premier League|Chelsea|2014/15
Premier League,Everton,"38,406","729,711","39,621","34,035",2014/15,Premier League|Everton|2014/15
Premier League,Tottenham Hotspur,"35,728","678,824","36,130","34,008",2014/15,Premier League|Tottenham Hotspur|2014/15
Premier League,West Ham United,"34,871","662,552","34,977","34,125",2014/15,Premier League|West Ham United|2014/15
Premier League,Aston Villa,"34,133","648,518","41,273","25,311",2014/15,Premier League|Aston Villa|2014/15
Premier League,Leicester City,"31,693","602,165","32,021","31,121",2014/15,Premier League|Leicester City|2014/15
Premier League,Southampton,"30,652","582,395","31,723","27,598",2014/15,Premier League|Southampton|2014/15
Premier League,Stoke City,"27,081","514,547","27,602","26,332",2014/15,Premier League|Stoke City|2014/15
Premier League,West Bromwich Albion,"25,064","476,211","26,768","23,516",2014/15,Premier League|West Bromwich Albion|2014/15
Premier League,Crystal Palace,"24,421","463,999","25,197","23,038",2014/15,Premier League|Crystal Palace|2014/15
Premier League,Hull City,"23,557","447,584","24,877","21,275",2014/15,Premier League|Hull City|2014/15
Premier League,Swansea City,"20,555","390,543","20,828","20,145",2014/15,Premier League|Swansea City|2014/15
Premier League,Burnley,"19,025","361,483","21,335","16,636",2014/15,Premier League|Burnley|2014/15
Premier League,Queens Park Rangers,"17,809","338,369","18,098","16,163",2014/15,Premier League|Queens Park Rangers|2014/15
Bundesliga,Borussia Dortmund,"80,490","1,368,338","80,667","79,500",2014/15,Bundesliga|Borussia Dortmund|2014/15
Bundesliga,Bayern Munich,"72,882","1,239,000","75,000","71,000",2014/15,Bundesliga|Bayern Munich|2014/15
Bundesliga,FC Schalke 04,"61,560","1,046,522","61,973","60,607",2014/15,Bundesliga|FC Schalke 04|2014/15
Bundesliga,Hamburger SV,"53,250","905,258","57,000","45,968",2014/15,Bundesliga|Hamburger SV|2014/15
Bundesliga,VfB Stuttgart,"50,709","862,050","60,000","40,500",2014/15,Bundesliga|VfB Stuttgart|2014/15
Bundesliga,"Borussia M'gladbach","50,648","861,015","54,010","37,091",2014/15,"Bundesliga|Borussia M'gladbach|2014/15"
Bundesliga,Hertha BSC,"50,185","853,140","76,197","34,636",2014/15,Bundesliga|Hertha BSC|2014/15
Bundesliga,1. FC Koln,"48,329","821,600","50,000","42,900",2014/15,Bundesliga|1. FC Koln|2014/15
Bundesliga,Eintracht Frankfurt,"47,618","809,500","51,500","34,400",2014/15,Bundesliga|Eintracht Frankfurt|2014/15
Bundesliga,Hannover 96,"43,459","738,800","49,000","30,500",2014/15,Bundesliga|Hannover 96|2014/15
Bundesliga,Werder Bremen,"40,906","695,396","42,100","38,900",2014/15,Bundesliga|Werder Bremen|2014/15
Bundesliga,1. FSV Mainz 05,"31,008","527,139","34,000","26,756",2014/15,Bundesliga|1. FSV Mainz 05|2014/15
Bundesliga,Bayer Leverkusen,"30,252","514,283","46,200","23,081",2014/15,Bundesliga|Bayer Leverkusen|2014/15
Bundesliga,FC Augsburg,"29,163","495,779","30,660","27,090",2014/15,Bundesliga|FC Augsburg|2014/15
Bundesliga,VfL Wolfsburg,"28,199","479,387","30,000","25,734",2014/15,Bundesliga|VfL Wolfsburg|2014/15
Bundesliga,TSG 1899 Hoffenheim,"27,318","464,401","30,150","23,631",2014/15,Bundesliga|TSG 1899 Hoffenheim|2014/15
Bundesliga,SC Freiburg,"23,850","405,450","24,000","23,500",2014/15,Bundesliga|SC Freiburg|2014/15
Bundesliga,SC Paderborn 07,"14,859","252,596","15,000","14,401",2014/15,Bundesliga|SC Paderborn 07|2014/15
La Liga,Barcelona,"77,632","1,475,013","98,760","60,005",2014/15,La Liga|Barcelona|2014/15
La Liga,Real Madrid,"73,667","1,399,668","85,450","63,634",2014/15,La Liga|Real Madrid|2014/15
La Liga,Atletico Madrid,"46,867","890,482","54,069","37,000",2014/15,La Liga|Atletico Madrid|2014/15
La Liga,Valencia,"41,609","790,563","51,100","35,000",2014/15,La Liga|Valencia|2014/15
