League,Goals Against,Team,GA Home,GA Away,GA First Half,GA Second Half,GA First 15 mins,GA Last 10 mins,GA Home Matches Scored In,GA Away Matches Scored In,GA Pld,GA Per Match,Season,KEY
Premier League,26,Tottenham Hotspur,9,17,11,15,3,4,12,5,38,0.68,2016/17,Premier League|Tottenham Hotspur|2016/17
Premier League,29,Manchester United,12,17,11,18,4,6,8,9,38,0.76,2016/17,Premier League|Manchester United|2016/17
Premier League,33,Chelsea,17,16,19,14,7,3,8,8,38,0.87,2016/17,Premier League|Chelsea|2016/17
Premier League,39,Manchester City,17,22,17,22,8,6,5,7,38,1.03,2016/17,Premier League|Manchester City|2016/17
Premier League,42,Liverpool,18,24,20,22,5,6,6,6,38,1.11,2016/17,Premier League|Liverpool|2016/17
Premier League,44,Everton,16,28,22,22,8,7,8,5,38,1.16,2016/17,Premier League|Everton|2016/17
Premier League,44,Arsenal,16,28,17,27,6,5,9,4,38,1.16,2016/17,Premier League|Arsenal|2016/17
Premier League,48,Southampton,21,27,18,30,7,11,8,6,38,1.26,2016/17,Premier League|Southampton|2016/17
Premier League,51,West Bromwich Albion,22,29,21,30,5,11,4,2,38,1.34,2016/17,Premier League|West Bromwich Albion|2016/17
Premier League,53,Middlesbrough,23,30,27,26,5,7,7,4,38,1.39,2016/17,Premier League|Middlesbrough|2016/17
Premier League,55,Burnley,20,35,21,34,5,9,6,4,38,1.45,2016/17,Premier League|Burnley|2016/17
Premier League,56,Stoke City,24,32,23,33,8,9,7,4,38,1.47,2016/17,Premier League|Stoke City|2016/17
Premier League,63,Crystal Palace,25,38,30,33,10,16,5,2,38,1.66,2016/17,Premier League|Crystal Palace|2016/17
Premier League,63,Leicester City,25,38,33,30,9,12,7,2,38,1.66,2016/17,Premier League|Leicester City|2016/17
Premier League,64,West Ham United,31,33,27,37,8,14,8,2,38,1.68,2016/17,Premier League|West Ham United|2016/17
