League,Goals For,Team,GF Home,GF Away,GF First Half,GF Second Half,GF First 15 mins,GF Last 10 mins,GF Home Matches Scored In,GF Away Matches Scored In,GF Pld,GF Per Match,Season,KEY
Premier League,83,Manchester City,44,39,37,46,10,17,17,18,38,2.18,2014/15,Premier League|Manchester City|2014/15
Premier League,73,Chelsea,36,37,37,36,15,8,19,16,38,1.92,2014/15,Premier League|Chelsea|2014/15
Premier League,71,Arsenal,41,30,36,35,9,15,16,17,38,1.87,2014/15,Premier League|Arsenal|2014/15
Premier League,62,Manchester United,41,21,33,29,8,9,17,13,38,1.63,2014/15,Premier League|Manchester United|2014/15
Premier League,58,Tottenham Hotspur,31,27,27,31,11,11,13,15,38,1.53,2014/15,Premier League|Tottenham Hotspur|2014/15
Premier League,54,Southampton,37,17,24,30,6,11,14,12,38,1.42,2014/15,Premier League|Southampton|2014/15
Premier League,52,Liverpool,30,22,21,31,8,9,16,14,38,1.37,2014/15,Premier League|Liverpool|2014/15
Premier League,48,Everton,27,21,24,24,7,8,13,13,38,1.26,2014/15,Premier League|Everton|2014/15
Premier League,48,Stoke City,32,16,30,18,8,9,16,13,38,1.26,2014/15,Premier League|Stoke City|2014/15
Premier League,47,Crystal Palace,21,26,17,30,2,8,14,11,38,1.24,2014/15,Premier League|Crystal Palace|2014/15
Premier League,46,Leicester City,28,18,21,25,6,9,13,11,38,1.21,2014/15,Premier League|Leicester City|2014/15
Premier League,46,Swansea City,27,19,19,27,6,9,16,14,38,1.21,2014/15,Premier League|Swansea City|2014/15
Premier League,44,West Ham United,25,19,19,25,5,3,16,11,38,1.16,2014/15,Premier League|West Ham United|2014/15
Premier League,42,Queens Park Rangers,23,19,17,25,2,8,13,13,38,1.11,2014/15,Premier League|Queens Park Rangers|2014/15
Premier League,40,Newcastle United,26,14,13,27,1,5,16,9,38,1.05,2014/15,Premier League|Newcastle United|2014/15
Premier League,38,West Bromwich Albion,24,14,16,22,7,3,14,11,38,1,2014/15,Premier League|West Bromwich Albion|2014/15
Premier League,33,Hull City,19,14,16,17,2,4,12,9,38,0.87,2014/15,Premier League|Hull City|2014/15
Premier League,31,Aston Villa,18,13,22,9,4,4,11,9,38,0.82,2014/15,Premier League|Aston Villa|2014/15
Premier League,31,Sunderland,16,15,17,14,5,6,11,10,38,0.82,2014/15,Premier League|Sunderland|2014/15
Premier League,28,Burnley,14,14,16,12,8,5,11,9,38,0.74,2014/15,Premier League|Burnley|2014/15
Bundesliga,80,Bayern Munich,46,34,35,45,9,14,15,14,34,2.35,2014/15,Bundesliga|Bayern Munich|2014/15
Bundesliga,72,VfL Wolfsburg,38,34,35,37,17,11,17,14,34,2.12,2014/15,Bundesliga|VfL Wolfsburg|2014/15
Bundesliga,62,Bayer Leverkusen,39,23,23,39,7,10,15,13,34,1.82,2014/15,Bundesliga|Bayer Leverkusen|2014/15
Bundesliga,56,Eintracht Frankfurt,36,20,24,32,6,8,14,12,34,1.65,2014/15,Bundesliga|Eintracht Frankfurt|2014/15
